ID,cluster
23270,0
23295,0
23298,0
23309,0
23317,0
23332,0
23363,0
23385,0
23407,2
23451,0
23453,0
23455,0
23464,0
23465,0
23483,0
23496,2
23499,2
23517,0
23539,0
23550,0
23568,1
23599,0
23600,0
23604,0
23638,0
23646,2
23664,0
23685,0
23688,2
23706,0
23708,0
23709,0
23711,0
23743,0
23770,0
23820,0
23836,2
23850,0
23872,2
23951,0
23959,1
23966,0
23975,0
23989,0
23997,0
24004,0
24030,0
24033,0
24036,0
24052,0
24057,0
24059,0
24076,0
24097,0
24125,2
24136,1
24139,2
24152,2
24161,0
24169,0
24182,0
24202,0
24270,0
24276,2
24338,0
24345,0
24354,0
24358,0
24379,0
24386,2
24403,0
24406,0
24429,0
24431,2
24469,0
24486,1
24501,2
24513,0
24519,0
24536,0
24546,0
24547,2
24562,0
24607,0
24615,0
24618,0
24666,0
24667,0
24698,0
24706,0
24707,0
24738,0
24773,0
24779,0
24780,0
24791,0
24833,0
24835,1
24850,0
24866,0
24889,0
24890,0
24912,0
24940,0
24941,0
24942,0
24943,2
24953,2
24978,0
24990,0
24999,0
25003,0
25037,0
25057,0
25111,0
25112,0
25140,0
25181,2
25221,0
25291,0
25311,0
25324,2
25356,0
25372,2
25424,0
25449,2
25476,0
25526,1
25530,0
25543,0
25555,2
25570,2
25598,0
25609,0
25616,0
25641,0
25662,0
25685,0
25694,0
25707,0
25708,0
25712,2
25753,0
25756,0
25762,0
25780,0
25787,0
25819,0
25823,0
25827,0
25841,0
25865,0
25866,0
25872,0
25883,0
25894,2
25902,0
25912,0
25936,0
25959,0
25993,0
26000,2
26017,0
26056,0
26080,0
26109,0
26146,2
26149,0
26168,0
26187,2
26193,0
26224,0
26248,0
26260,1
26266,0
26280,0
26289,0
26290,0
26293,0
26307,0
26324,0
26416,0
26427,0
26436,0
26458,0
26462,2
26479,0
26482,0
26483,0
26498,0
26503,2
26504,0
26534,0
26554,2
26605,2
26623,0
26635,2
26642,0
26685,0
26686,2
26713,0
26748,0
26770,2
26793,2
26816,0
26824,0
26887,0
26892,0
26905,0
26912,0
26943,0
26979,0
26986,2
26990,2
27002,0
27003,0
27039,0
27057,2
27059,0
27078,0
27079,2
27103,2
27146,1
27156,0
27159,0
27175,2
27187,0
27206,2
27215,0
27223,2
27230,0
27237,0
27240,2
27254,2
27276,2
27327,0
27363,0
27370,0
27383,0
27408,2
27416,0
27418,0
27431,0
27450,0
27454,0
27474,0
27513,2
27517,0
27526,0
27531,0
27533,2
27539,0
27546,0
27573,2
27584,0
27599,0
27638,0
27657,0
27660,2
27708,0
27793,2
27797,0
27847,0
27881,2
27901,0
27903,2
27918,0
27924,2
27929,0
27936,0
27942,0
27959,0
27971,0
27989,0
28009,0
28022,0
28023,0
28034,0
28054,0
28057,0
28114,0
28128,0
28136,0
28151,0
28178,0
28183,2
28195,0
28196,0
28217,0
28218,0
28220,0
28229,2
28231,0
28240,2
28256,0
28264,0
28281,0
28295,0
28300,0
28301,2
28341,0
28357,2
28366,0
28376,0
28400,0
28401,0
28406,0
28412,2
28413,0
28424,0
28428,0
28459,0
28469,2
28471,0
28473,0
28478,2
28496,0
28511,0
28515,2
28523,2
28538,0
28549,0
28560,0
28577,0
28597,2
28600,0
28616,0
28624,0
28631,0
28636,2
28729,2
28735,0
28736,0
28762,0
28763,0
28767,0
28780,0
28806,2
28837,0
28840,2
28849,0
28851,0
28881,0
28884,2
28902,1
28905,0
28912,2
28944,0
28959,0
28998,0
29038,0
29074,0
29078,0
29088,0
29107,0
29177,0
29185,0
29240,0
29244,0
29260,0
29270,0
29271,0
29272,0
29284,2
29304,0
29398,0
29412,0
29441,0
29442,0
29457,0
29462,0
29493,0
29531,1
29539,0
29547,0
29592,0
29594,0
29619,0
29620,0
29627,2
29665,2
29671,0
29673,0
29674,0
29701,0
29736,0
29753,0
29772,0
29777,0
29783,0
29798,0
29808,0
29829,0
29832,0
29839,0
29861,0
29869,0
29910,0
29935,2
29960,0
29988,0
29990,0
29993,0
29997,2
30006,0
30035,2
30047,2
30053,0
30088,0
30105,0
30106,2
30115,0
30123,0
30175,0
30186,0
30218,0
30267,2
30274,0
30287,0
30288,0
30294,0
30304,0
30339,2
30341,0
30349,0
30366,0
30385,0
30390,0
30397,0
30400,0
30411,2
30423,0
30432,0
30435,0
30459,2
30487,0
30489,0
30507,2
30556,1
30579,0
30593,0
30615,0
30616,2
30649,0
30674,0
30743,0
30784,0
30795,0
30867,0
30889,0
30909,0
30952,0
30969,0
30986,0
31001,0
31009,2
31033,0
31042,0
31051,0
31064,0
31066,2
31068,0
31142,0
31162,0
31164,0
31171,2
31203,0
31231,0
31233,0
31266,2
31301,0
31313,0
31349,0
31386,2
31406,2
31423,0
31427,0
31434,2
31481,0
31524,2
31526,0
31528,2
31541,2
31543,0
31546,0
31549,0
31588,0
31611,0
31632,0
31641,0
31708,0
31749,2
31765,0
31802,0
31826,0
31827,0
31844,0
31864,0
31888,0
31906,2
31918,0
31921,0
31926,0
31945,0
31967,0
31968,2
31976,0
31978,0
32013,0
32018,0
32039,0
32052,0
32054,0
32055,0
32066,2
32073,0
32100,0
32120,2
32127,0
32131,0
32136,0
32139,0
32153,0
32156,0
32166,0
32167,2
32174,0
32191,2
32215,0
32228,2
32234,0
32244,0
32247,0
32263,2
32266,0
32281,0
32289,2
32341,0
32354,0
32388,2
32390,0
32406,2
32408,0
32437,0
32453,0
32454,0
